datetime,duration,protocol,src,src_port,dst,dst_port,src_bytes,dst_bytes,count,srv_count
04/16-05:53:06.445, 0:00:00.000279, TCP, 9.246.85.82, 56785, 192.168.136.128, 135, 0, 0.,1,1
04/16-05:53:06.446, 0:00:00.000282, TCP, 9.246.85.82, 16063, 192.168.136.128, 135, 0, 0.,2,2
04/16-05:53:06.448, 0:00:00.000236, TCP, 9.246.85.82, 31743, 192.168.136.128, 135, 0, 0.,3,3
04/16-05:53:06.450, 0:00:00.000226, TCP, 9.246.85.82, 61343, 192.168.136.128, 135, 0, 0.,4,4
04/16-05:53:06.452, 0:00:00.000308, TCP, 9.246.85.82, 34043, 192.168.136.128, 135, 0, 0.,5,5
04/16-05:53:06.453, 0:00:00.000352, TCP, 9.246.85.82, 18306, 192.168.136.128, 135, 0, 0.,6,6
04/16-05:53:06.454, 0:00:00.000259, TCP, 9.246.85.82, 28816, 192.168.136.128, 135, 0, 0.,7,7
04/16-05:53:06.455, 0:00:00.000190, TCP, 9.246.85.82, 20028, 192.168.136.128, 135, 0, 0.,8,8
04/16-05:53:06.457, 0:00:00.000273, TCP, 9.246.85.82, 41640, 192.168.136.128, 135, 0, 0.,10,10
04/16-05:53:06.457, 0:00:00.000188, TCP, 9.246.85.82, 65499, 192.168.136.128, 135, 0, 0.,10,10
04/16-05:53:06.459, 0:00:00.000224, TCP, 9.246.85.82, 3084, 192.168.136.128, 135, 0, 0.,11,11
04/16-05:53:06.460, 0:00:00.000200, TCP, 9.246.85.82, 51939, 192.168.136.128, 135, 0, 0.,13,13
04/16-05:53:06.460, 0:00:00.000182, TCP, 9.246.85.82, 52157, 192.168.136.128, 135, 0, 0.,13,13
04/16-05:53:06.461, 0:00:00.000190, TCP, 9.246.85.82, 43328, 192.168.136.128, 135, 0, 0.,14,14
04/16-05:53:06.462, 0:00:00.000192, TCP, 9.246.85.82, 60911, 192.168.136.128, 135, 0, 0.,15,15
